loai_thau,ma_tinh,ten_tinh,ten_don_vi,ma_cskcb,ten_cskcb,ma,ma_gy,ten,hoatchat,duongdung,maduongdung,madd_gy,dangbaoche,hamluong,donggoi,sodk,nhasx,nuocsx,donvitinh,soluong,gia,thanhtien,tennhathau,quyetdinh,tungay,denngay,goithau,tieuchuan,nhomthau,loai,sttpheduyet,hieuluc,congbo,ht_thau,tungay_hd,denngay_hd,created_date
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.776,40.776,Prednisolon,Prednisolon acetat,Uống,1.01,1.01,Viên nén,5mg,Hộp 50 vỉ x 20 viên,VD-31253-18,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Viên,0,150.0,0.0,Công ty Cổ phần Dược phẩm Vĩnh Phúc.,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.659,40.659,Vinzix,Furosemid,Uống,1.01,1.01,Viên nén,40mg,Hộp 5 vỉ x 50 viên,893110306023,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Viên,0,110.0,0.0,Công ty Cổ phần Dược phẩm Vĩnh Phúc.,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.789,40.789,Orgametril,Lynestrenol,Uống,1.01,1.01,Viên nén,5mg,Hộp 1 vỉ x 30 viên,VN-21209-18,N.V. Organon,Hà Lan,Viên,0,2360.0,0.0,Công ty TNHH Dược phẩm Gigamed.,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N1,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,68,Tỉnh Lâm Đồng,Tyt Đinh Trang Thượng,68592,Tyt Đinh Trang Thượng,40.661,40.661,Verospiron 25mg,Spironolacton,Uống,1.01,1.01,Viên nén,25mg,Hộp 1 vỉ  x 20 viên,VN-16485-13,Gedeon Richter Plc,Hungary,Viên,0,2835.0,0.0,Công ty Cổ phần Dược phẩm Bến Tre.,685/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N1,Tân dược,,1,2024-10-01 00:00:00,3,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Phụ Sản Tw,01905,Bv Phụ Sản Tw,40.322,40.322,Tavanic,Levofloxacin,Uống,1.01,1.01,Viên nén bao phim,500 mg,Hộp 1 vỉ x 5 viên nén bao phim,VN-19455-15,Opella Healthcare International SAS,Pháp,Viên,1500,36550.0,54825000.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM THIẾT BỊ Y TẾ HÀ NỘI,2356/QĐ-PSTW,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Phụ Sản Tw,01905,Bv Phụ Sản Tw,40.1011,40.1011,Aminoplasmal B.Braun 5% E,Acid amin*,Tiêm truyền,2.15,2.15,Dung dịch tiêm truyền tĩnh mạch,"(0,625gam + 1,1125gam + 1,07gam + 0,55gam + 0,5875gam + 0,525gam + 0,20gam + 0,775gam + 1,4375gam + 0,375gam + 1,3125gam + 1,50gam + 0,70gam + 0,90gam + 0,6875gam + 0,2875gam + 0,10gam + 0,34025gam + 0,035gam + 0,61325gam + 0,241gam + 0,127gam + 0,89525gam)/ 250ml",Hộp 10 chai 500ml,VN-18161-14,B. Braun Melsungen AG,Đức,Chai,300,125460.0,37638000.0,CÔNG TY TNHH DƯỢC PHẨM GIGAMED,2356/QĐ-PSTW,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Phụ Sản Tw,01905,Bv Phụ Sản Tw,40.472,40.472,Eprex 2000 U,Erythropoietin,Tiêm,2.10,2.10,Dung dịch tiêm,"2000 IU/0,5ml",Hộp 6 ống tiêm chứa sẵn thuốc kèm kim tiêm an toàn,QLSP-971-16,Cilag AG,Thụy Sĩ,Ống,160,234899.0,37583840.0,CÔNG TY TNHH DƯỢC PHẨM GIGAMED,2356/QĐ-PSTW,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Phụ Sản Tw,01905,Bv Phụ Sản Tw,40.923,40.923,Tractocile,Atosiban,Tiêm truyền,2.15,2.15,Dung dịch đậm đặc pha truyền tĩnh mạch,"7,5mg/ml",Hộp 1 lọ 5ml,VN-22144-19,CSSX và đóng gói sơ cấp: Ferring GmbH; CSĐG thứ cấp và xuất xưởng: Ferring International Center S.A.,CSSX và đóng gói sơ cấp: Đức; CSĐG thứ cấp và xuất xưởng: Thụy Sỹ,Lọ,3500,2164858.0,7577003000.0,CÔNG TY TNHH DƯỢC PHẨM GIGAMED,2356/QĐ-PSTW,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Phụ Sản Tw,01905,Bv Phụ Sản Tw,40.387.2,40.387.2,Anzatax 30mg/5ml,Paclitaxel,Tiêm truyền tĩnh mạch,2.05,2.05,Dung dịch đậm đặc pha dung dịch tiêm truyền,30mg/5ml,Hộp 1 lọ 5ml,930114132624,Hospira Australia Pty Ltd,Úc,Lọ,210,754110.0,158363100.0,CÔNG TY TNHH MỘT THÀNH VIÊN DƯỢC LIỆU TW2,2356/QĐ-PSTW,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Phú Vinh,46172,Tyt Phú Vinh,40.1015,40.1015,Glucose 5%,Glucose,Tiêm truyền,2.15,2.15,Thuốc tiêm truyền,"5%, 500ml",Thùng 20 chai nhựa 500ml,VD-28252-17,Công ty cổ phần Fresenius Kabi/Việt Nam,Việt Nam,Chai nhựa,0,8400.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Phú Vinh,46172,Tyt Phú Vinh,40.1028,40.1028,Nước cất tiêm,Nước cất pha tiêm,Tiêm,2.10,2.10,Dung môi pha tiêm,10ml,Hộp 50 ống x 10ml,VD-18797-13,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam,Ống,0,688.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Hương Phong,46178,Tyt Hương Phong,40.1026,40.1026,Ringer lactate,Ringer lactat,Tiêm truyền,2.15,2.15,Thuốc tiêm truyền,500ml,Thùng 20 chai nhựa 500ml,VD-22591-15,Công ty cổ phần Fresenius Kabi/Việt Nam,Việt Nam,Chai nhựa,0,8400.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Hương Phong,46178,Tyt Hương Phong,40.1028,40.1028,Nước cất tiêm,Nước cất pha tiêm,Tiêm,2.10,2.10,Dung môi pha tiêm,10ml,Hộp 50 ống x 10ml,VD-18797-13,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam,Ống,0,688.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Hương Phong,46178,Tyt Hương Phong,40.12,40.12,Lidocain Kabi 2%,Lidocain (hydroclorid),Tiêm,2.10,2.10,Dung dịch tiêm,40mg/2ml,Hộp 100 ống x 2ml,VD-31301-18,Công ty cổ phần Fresenius Kabi/Việt Nam,Việt Nam,Ống,0,806.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,84,Tỉnh Trà Vinh,Bvđk Kv Cầu Ngang,84007,Bvđk Kv Cầu Ngang,40.869,40.869,Eyaren Ophthalmic Drops,Kali iodid + natri iodid,Nhỏ mắt,6.01,6.01,Thuốc nhỏ mắt,3mg + 3mg,Hộp 1 lọ 10ml,VN-10546-10,"Samil Pharmaceutical Co., Ltd.",Korea,Lọ,600,29505.0,17703000.0,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ DU LỊCH MÂY VÀNG,23/QĐ-BVĐKKV,2024-10-01 00:00:00,,G1,,N5,Tân dược,,1,2024-10-01 00:00:00,5,2024-10-01 00:00:00,2025-04-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.429,40.429,Femancia,Sắt fumarat + acid folic,Uống,1.01,1.01,Viên nang cứng (đỏ),305mg + 350mcg,Hộp 6 vỉ x 10 viên,VD-27929-17,Công ty cổ phần dược phẩm Me Di Sun,Việt Nam,Viên,0,630.0,0.0,CÔNG TY TNHH DƯỢC PHẨM STABLED,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.775,40.775,Atisolu 40 inj,Methyl prednisolon,Tiêm,2.10,2.10,Bột đông khô pha tiêm,40mg,Hộp 5 lọ + 5 ống dm 1 ml,VD-26109-17,Công ty Cổ phần Dược phẩm An Thiên,Việt Nam,Lọ,0,6615.0,0.0,CÔNG TY TNHH DƯỢC PHẨM ATIPHARM,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.12,40.12,Lidocain,Lidocain hydroclodrid,Tiêm,2.10,2.10,Dung dịch tiêm,40mg/2ml,Hộp 100 ống x 2ml,893110688924,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Ống,0,480.0,0.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM VĨNH PHÚC,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.1028,40.1028,Nước cất tiêm,Nước cất pha tiêm,Tiêm,2.10,2.10,Dung dịch tiêm,5ml,Hộp 10 vỉ x 5 ống x 5ml,VD-24904-16,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Ống,0,680.0,0.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM VĨNH PHÚC,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.1054,40.1054,Vitamin B6,Vitamin B6,Tiêm,2.10,2.10,Dung dịch tiêm,100mg/1ml,Hộp 100 ống x 1ml,893110448824,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Ống,0,630.0,0.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM VĨNH PHÚC,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,46,Tỉnh Thừa Thiên Huế,Tyt Hồng Kim,46177,Tyt Hồng Kim,40.1021,40.1021,"Natri clorid 0,9%",Natri clorid,Tiêm truyền,2.15,2.15,Thuốc tiêm truyền,"0,9% x 500ml",Thùng 20 chai nhựa 500ml,893110039623,Công ty cổ phần Fresenius Kabi/Việt Nam,Việt Nam,Chai nhựa,0,7350.0,0.0,Công ty CP TM DP Manh Tý - Việt Mỹ,163/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-01-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,1,Thành phố Hà Nội,Bv Thanh Nhàn,01006,Bv Thanh Nhàn,05C.58.20,05C.58.20,Độc hoạt tang ký sinh TW3,"Độc hoạt,Quế nhục, Phòng phong, Đương quy, Tế tân, Xuyên khung, Tần giao, Bạch thược, Tang ký sinh, Sinh địa, Đỗ trọng, Ngưu tất,Bạch linh, Cam thảo, Đảng sâm",Uống,1.01,1.01,Viên nang cứng,(80mg; 80mg; 80mg) 240mg; (120mg; 80mg; 80mg; 80mg; 80mg; 80mg; 80mg; 80mg; 80mg; 80mg; 80mg; 80mg) 458mg.,Hộp 03 vỉ x 10 viên,VD-32645-19,Công ty Cổ phần Dược phẩm Trung ương 3,Việt Nam,Viên,200000,609.0,121800000.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG 3,1894/QĐ-BVTN,2024-10-01 00:00:00,,G3,,N3,Chế phẩm,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-09-30 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,84,Tỉnh Trà Vinh,Bvđk Tỉnh,84001,Bvđk Tỉnh,40.493,40.493,Concor Cor,Bisoprolol,Uống,1.01,1.01,Viên nén bao phim,"2,5mg",Hộp 3 vỉ x 10 viên,VN-18023-14,CSSX: Merck Healthcare KGaA; CSĐG: P&G Health Austria GmbH & Co. OG,"CSSX: Đức, CSĐG: Áo",Viên,200000,3147.0,629400000.0,Công ty Cổ phần Dược liệu Trung ương 2,2164/QĐ-BVĐK,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,84,Tỉnh Trà Vinh,Bvđk Tỉnh,84001,Bvđk Tỉnh,40.982,40.982,Seretide Evohaler DC 25/250 mcg,Salmeterol+ fluticason propionat,Hít qua đường miệng,5.02,5.02,Thuốc phun mù định liều hệ hỗn dịch,25mcg + 250mcg,Hộp 1 bình 120 liều xịt,VN-22403-19,"Glaxo Wellcome SA,",Tây Ban Nha,Bình xịt,2000,278090.0,556180000.0,Công ty Cổ phần Dược liệu Trung ương 2,2164/QĐ-BVĐK,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,84,Tỉnh Trà Vinh,Bvđk Tỉnh,84001,Bvđk Tỉnh,40.30.564,40.30.564,Brilinta,Ticagrelor,Uống,1.01,1.01,Viên nén bao phim,90mg,Hộp 6 vỉ x 10 viên,VN-19006-15,AstraZenec a AB,Thụy Điển,Viên,80000,15873.0,1269840000.0,Công ty Cổ phần Dược liệu Trung ương 2,2164/QĐ-BVĐK,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,45,Tỉnh Quảng Trị,Bvđk Tỉnh,45010,Bvđk Tỉnh,40.475,40.475,Peg-Grafeel,Pegfilgrastim,Tiêm,2.10,2.10,Dung dịch tiêm,"6mg/0,6ml","Hộp chứa 1 bơm tiêm đóng sẵn thuốc 0,6ml",QLSP-0636-13,Dr.Reddy's Laboratories Ltd,Ấn Độ,Bơm tiêm,7,4278500.0,29949500.0,Công ty TNHH Dược phẩm và Trang thiết bị y tế Hoàng Đức,1857/QĐ-BVĐK,2024-10-01 00:00:00,,G1,,N5,Tân dược,,1,2024-10-01 00:00:00,6,2024-10-01 00:00:00,2024-10-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,84,Tỉnh Trà Vinh,Bvđk Tỉnh,84001,Bvđk Tỉnh,40.515,40.515,Betaloc Zok 50mg,Metoprolol,Uống,1.01,1.01,Viên nén phóng thích kéo dài,"47,5mg (tương đương với 50mg metoprolol tartrate hoặc 39mg metoprolol)",Hộp 2 vỉ x 14 viên,730110022123,AstraZenec a AB,Thụy Điển,Viên,60000,5490.0,329400000.0,Công ty Cổ phần Dược liệu Trung ương 2,2164/QĐ-BVĐK,2024-10-01 00:00:00,,G2,,N1,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2025-10-01 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.1015,40.1015,Glucose 5%,Glucose,Tiêm truyền,2.15,2.15,Dung dịch tiêm truyền,5%/500ml,Thùng 20 chai nhựa 500ml,VD-28252-17,Công ty Cổ phần Fresenius Kabi,Việt Nam,Chai nhựa,0,8400.0,0.0,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM THANH PHƯƠNG,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Kim Nọi,15513,Tyt Kim Nọi,40.1015,40.1015,Glucose 10%,Glucose,Tiêm truyền,2.15,2.15,Dung dịch tiêm truyền,10%/500ml,Thùng 20 chai nhựa 500ml,VD-25876-16,Công ty Cổ phần Fresenius Kabi,Việt Nam,Chai,0,10343.0,0.0,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM THANH PHƯƠNG,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
3.thau_rieng_le,15,Tỉnh Yên Bái,Tyt Nậm Có,15503,Tyt Nậm Có,40.1054,40.1054,Vitamin B6,Vitamin B6,Tiêm,2.10,2.10,Dung dịch tiêm,100mg/1ml,Hộp 100 ống x 1ml,893110448824,Công ty cổ phần dược phẩm Vĩnh Phúc,Việt Nam,Ống,6000,630.0,3780000.0,CÔNG TY CỔ PHẦN DƯỢC PHẨM VĨNH PHÚC,222/QĐ-TTYT,2024-10-01 00:00:00,,G1,,N4,Tân dược,,1,2024-10-01 00:00:00,1,2024-10-01 00:00:00,2024-12-31 00:00:00,2025-03-17 00:29:53
